Date,Price
2008-03-02,9.16
2008-03-09,9.43
2008-03-16,9.74
2008-03-23,9.08
2008-03-30,9.24
2008-04-06,9.68
2008-04-13,9.88
2008-04-20,10.13
2008-04-27,10.54
2008-05-04,10.75
2008-05-11,11.11
2008-05-18,11.36
2008-05-25,11.31
2008-06-01,11.67
2008-06-08,12.29
2008-06-15,12.59
2008-06-22,12.88
2008-06-29,12.89
2008-07-06,13.2
2008-07-13,12.3
2008-07-20,11.3
2008-07-27,9.93
2008-08-03,9.15
2008-08-10,8.71
2008-08-17,8.1
2008-08-24,7.9
2008-08-31,8.16
2008-09-07,7.54
2008-09-14,7.69
2008-09-21,7.91
2008-09-28,7.74
2008-10-05,7.3
2008-10-12,6.68
2008-10-19,6.68
2008-10-26,6.75
2008-11-02,6.44
2008-11-09,6.76
2008-11-16,6.68
2008-11-23,6.67
2008-11-30,6.6
2008-12-07,6.44
2008-12-14,5.68
2008-12-21,5.72
2008-12-28,5.41
2009-01-04,5.64
2009-01-11,5.88
2009-01-18,5.42
2009-01-25,4.8
2009-02-01,4.74
2009-02-08,4.81
2009-02-15,4.72
2009-02-22,4.34
2009-03-01,4.15
2009-03-08,4.23
2009-03-15,3.89
2009-03-22,3.8
2009-03-29,4.06
2009-04-05,3.62
2009-04-12,3.61
2009-04-19,3.53
2009-04-26,3.45
2009-05-03,3.29
2009-05-10,3.78
2009-05-17,4.24
2009-05-24,3.79
2009-05-31,3.58
2009-06-07,3.76
2009-06-14,3.53
2009-06-21,4.04
2009-06-28,3.87
2009-07-05,3.68
2009-07-12,3.27
2009-07-19,3.29
2009-07-26,3.5
2009-08-02,3.41
2009-08-09,3.58
2009-08-16,3.39
2009-08-23,3.01
2009-08-30,2.72
2009-09-06,2.18
2009-09-13,2.69
2009-09-20,3.21
2009-09-27,3.46
2009-10-04,3.06
2009-10-11,3.6
2009-10-18,3.93
2009-10-25,4.7
2009-11-01,4.37
2009-11-08,4.28
2009-11-15,3.38
2009-11-22,3.3
2009-11-29,3.52
2009-12-06,4.5
2009-12-13,5.08
2009-12-20,5.61
2009-12-27,5.66
2010-01-03,5.88
2010-01-10,6.56
2010-01-17,5.68
2010-01-24,5.56
2010-01-31,5.47
2010-02-07,5.47
2010-02-14,5.55
2010-02-21,5.41
2010-02-28,4.87
2010-03-07,4.74
2010-03-14,4.45
2010-03-21,4.23
2010-03-28,4.01
2010-04-04,3.82
2010-04-11,4.0
2010-04-18,4.06
2010-04-25,3.99
2010-05-02,4.16
2010-05-09,3.94
2010-05-16,4.19
2010-05-23,4.26
2010-05-30,4.18
2010-06-06,4.44
2010-06-13,4.73
2010-06-20,5.1
2010-06-27,4.93
2010-07-04,4.66
2010-07-11,4.64
2010-07-18,4.48
2010-07-25,4.64
2010-08-01,4.75
2010-08-08,4.8
2010-08-15,4.42
2010-08-22,4.3
2010-08-29,3.96
2010-09-05,3.76
2010-09-12,3.8
2010-09-19,4.01
2010-09-26,4.01
2010-10-03,3.79
2010-10-10,3.52
2010-10-17,3.49
2010-10-24,3.37
2010-10-31,3.31
2010-11-07,3.39
2010-11-14,3.7
2010-11-21,3.73
2010-11-28,3.9
2010-12-05,4.2
2010-12-12,4.46
2010-12-19,4.26
2010-12-26,4.09
2011-01-02,4.16
2011-01-09,4.52
2011-01-16,4.46
2011-01-23,4.57
2011-01-30,4.45
2011-02-06,4.51
2011-02-13,4.17
2011-02-20,3.9
2011-02-27,3.84
2011-03-06,3.82
2011-03-13,3.8
2011-03-20,3.88
2011-03-27,4.12
2011-04-03,4.3
2011-04-10,4.15
2011-04-17,4.12
2011-04-24,4.27
2011-05-01,4.39
2011-05-08,4.5
2011-05-15,4.18
2011-05-22,4.15
2011-05-29,4.35
2011-06-05,4.65
2011-06-12,4.83
2011-06-19,4.56
2011-06-26,4.33
2011-07-03,4.32
2011-07-10,4.3
2011-07-17,4.41
2011-07-24,4.58
2011-07-31,4.4
2011-08-07,4.21
2011-08-14,4.08
2011-08-21,4.01
2011-08-28,4.01
2011-09-04,4.01
2011-09-11,3.96
2011-09-18,3.95
2011-09-25,3.77
2011-10-02,3.81
2011-10-09,3.53
2011-10-16,3.48
2011-10-23,3.62
2011-10-30,3.62
2011-11-06,3.47
2011-11-13,3.42
2011-11-20,3.1
2011-11-27,2.92
2011-12-04,3.37
2011-12-11,3.39
2011-12-18,3.08
2011-12-25,3.04
2012-01-01,3.04
2012-01-08,2.92
2012-01-15,2.81
2012-01-22,2.4
2012-01-29,2.57
2012-02-05,2.45
2012-02-12,2.51
2012-02-19,2.52
2012-02-26,2.63
2012-03-04,2.45
2012-03-11,2.26
2012-03-18,2.11
2012-03-25,2.16
2012-04-01,2.06
2012-04-08,1.96
2012-04-15,1.93
2012-04-22,1.86
2012-04-29,2.0
2012-05-06,2.26
2012-05-13,2.33
2012-05-20,2.49
2012-05-27,2.59
2012-06-03,2.37
2012-06-10,2.33
2012-06-17,2.24
2012-06-24,2.52
2012-07-01,2.76
2012-07-08,2.84
2012-07-15,2.82
2012-07-22,2.92
2012-07-29,3.13
2012-08-05,3.12
2012-08-12,2.92
2012-08-19,2.77
2012-08-26,2.79
2012-09-02,2.72
2012-09-09,2.82
2012-09-16,2.88
2012-09-23,2.76
2012-09-30,2.93
2012-10-07,3.22
2012-10-14,3.26
2012-10-21,3.31
2012-10-28,3.41
2012-11-04,3.44
2012-11-11,3.4
2012-11-18,3.54
2012-11-25,3.61
2012-12-02,3.66
2012-12-09,3.41
2012-12-16,3.3
2012-12-23,3.3
2012-12-30,3.34
2013-01-06,3.28
2013-01-13,3.18
2013-01-20,3.44
2013-01-27,3.54
2013-02-03,3.26
2013-02-10,3.33
2013-02-17,3.26
2013-02-24,3.28
2013-03-03,3.48
2013-03-10,3.57
2013-03-17,3.74
2013-03-24,3.99
2013-03-31,4.04
2013-04-07,3.99
2013-04-14,4.13
2013-04-21,4.25
2013-04-28,4.24
2013-05-05,4.23
2013-05-12,3.89
2013-05-19,3.95
2013-05-26,4.14
2013-06-02,4.12
2013-06-09,3.94
2013-06-16,3.77
2013-06-23,3.87
2013-06-30,3.72
2013-07-07,3.54
2013-07-14,3.66
2013-07-21,3.69
2013-07-28,3.67
2013-08-04,3.45
2013-08-11,3.32
2013-08-18,3.35
2013-08-25,3.49
2013-09-01,3.55
2013-09-08,3.64
2013-09-15,3.61
2013-09-22,3.71
2013-09-29,3.55
2013-10-06,3.56
2013-10-13,3.7
2013-10-20,3.79
2013-10-27,3.69
2013-11-03,3.55
2013-11-10,3.47
2013-11-17,3.62
2013-11-24,3.69
2013-12-01,3.86
2013-12-08,3.94
2013-12-15,4.31
2013-12-22,4.25
2013-12-29,4.44
2014-01-05,4.36
2014-01-12,4.31
2014-01-19,4.39
2014-01-26,5.09
2014-02-02,5.29
2014-02-09,6.35
2014-02-16,6.55
2014-02-23,6.0
2014-03-02,5.1
2014-03-09,6.24
2014-03-16,4.57
2014-03-23,4.43
2014-03-30,4.46
2014-04-06,4.45
2014-04-13,4.63
2014-04-20,4.65
2014-04-27,4.79
2014-05-04,4.76
2014-05-11,4.74
2014-05-18,4.46
2014-05-25,4.52
2014-06-01,4.52
2014-06-08,4.61
2014-06-15,4.61
2014-06-22,4.65
2014-06-29,4.51
2014-07-06,4.41
2014-07-13,4.19
2014-07-20,4.11
2014-07-27,3.84
2014-08-03,3.79
2014-08-10,3.92
2014-08-17,3.9
2014-08-24,3.85
2014-08-31,4.01
2014-09-07,3.93
2014-09-14,3.91
2014-09-21,3.94
2014-09-28,3.88
2014-10-05,4.02
2014-10-12,3.88
2014-10-19,3.82
2014-10-26,3.63
2014-11-02,3.65
2014-11-09,3.83
2014-11-16,4.16
2014-11-23,4.35
2014-11-30,4.16
2014-12-07,3.75
2014-12-14,3.66
2014-12-21,3.69
2014-12-28,2.94
2015-01-04,3.09
2015-01-11,3.03
2015-01-18,3.08
2015-01-25,2.95
2015-02-01,2.91
2015-02-08,2.72
2015-02-15,2.75
2015-02-22,2.9
2015-03-01,3.13
2015-03-08,3.04
2015-03-15,2.76
2015-03-22,2.8
2015-03-29,2.79
2015-04-05,2.64
2015-04-12,2.67
2015-04-19,2.61
2015-04-26,2.59
2015-05-03,2.57
2015-05-10,2.75
2015-05-17,2.88
2015-05-24,3.0
2015-05-31,2.8
2015-06-07,2.65
2015-06-14,2.78
